user_id,group,converted,session_sec,pages_viewed,device
1,Control,0,203.76687133706184,6,Tablet
2,Control,1,267.51510349505435,3,Mobile
3,Control,0,189.0980276604725,3,Mobile
4,Control,0,241.40976626299204,5,Desktop
5,Control,0,330.3106550770941,2,Desktop
6,Control,0,217.89545352761064,1,Desktop
7,Control,0,187.7130491187164,2,Tablet
8,Control,0,224.73458418715387,4,Desktop
9,Control,0,164.90955279878634,3,Desktop
10,Control,0,316.3382238038603,1,Desktop
11,Control,0,194.903907073279,5,Desktop
12,Control,1,169.9886673875968,1,Tablet
13,Control,0,139.037104723898,5,Mobile
14,Control,0,245.34711053835412,2,Mobile
15,Control,0,232.69530770552564,1,Desktop
16,Control,0,157.64550957222488,4,Mobile
17,Control,0,216.70482398173326,2,Desktop
18,Control,0,102.02942174829289,3,Tablet
19,Control,0,195.1733816290236,2,Desktop
20,Control,0,209.9015993642182,2,Mobile
21,Control,0,278.90313952575724,2,Desktop
22,Control,0,142.60496584992208,5,Desktop
23,Control,0,114.69060541587216,1,Desktop
24,Control,0,135.7514621491227,3,Desktop
25,Control,0,111.48873248267941,5,Desktop
26,Control,0,258.51615467674407,5,Mobile
27,Control,0,270.175161226322,2,Desktop
28,Control,0,202.6119117871856,5,Desktop
29,Control,0,252.17122201268313,2,Desktop
30,Control,0,192.36771093191294,4,Desktop
31,Control,0,179.76885937645787,3,Desktop
32,Control,0,166.6829309520431,7,Desktop
33,Control,0,167.9284954742339,3,Desktop
34,Control,1,99.87091440300328,7,Desktop
35,Control,1,199.53401199840366,6,Mobile
36,Control,0,182.7816349382276,7,Desktop
37,Control,0,225.99483982428316,3,Tablet
38,Control,0,190.14379230412354,4,Tablet
39,Control,0,176.05129641369996,4,Mobile
40,Control,0,137.08438334958032,2,Desktop
41,Control,0,188.96842802519689,8,Mobile
42,Control,0,225.60304769488891,2,Mobile
43,Control,0,122.11635549038766,1,Desktop
44,Control,1,189.81105645244065,3,Desktop
45,Control,0,197.8173623341216,3,Desktop
46,Control,0,145.50643690099545,3,Desktop
47,Control,0,152.66790323005998,2,Mobile
48,Control,0,197.6835966821418,3,Mobile
49,Control,0,122.66184399390573,4,Desktop
50,Control,0,204.2458043387166,1,Desktop
51,Control,1,135.755509448744,1,Desktop
52,Control,0,243.4569531168269,3,Desktop
53,Control,1,313.5805259963565,4,Desktop
54,Control,0,137.65837590639993,3,Desktop
55,Control,0,214.3814324306071,1,Desktop
56,Control,1,145.02919523148893,7,Mobile
57,Control,0,242.2524795588784,6,Mobile
58,Control,0,115.41078750031318,1,Tablet
59,Control,0,211.4322717135242,3,Mobile
60,Control,0,136.9856068210856,2,Desktop
61,Control,0,173.61584759958973,4,Mobile
62,Control,0,128.29360986689812,4,Desktop
63,Control,0,230.22927589926644,2,Mobile
64,Control,0,138.96608050582273,3,Desktop
65,Control,0,215.35803426325052,4,Desktop
66,Control,0,166.0746084455717,4,Desktop
67,Control,0,178.70401955106254,3,Desktop
68,Control,0,193.12657490700707,2,Desktop
69,Control,0,143.09964305876332,5,Desktop
70,Control,1,196.57019124474877,6,Mobile
71,Control,0,269.1684010394926,3,Desktop
72,Control,0,142.20478677920073,3,Desktop
73,Control,0,249.44955788006146,3,Mobile
74,Control,0,267.39536984182814,4,Desktop
75,Control,0,140.1114756034576,2,Mobile
76,Control,0,104.97199672001965,4,Mobile
77,Control,0,201.60784950944705,2,Tablet
78,Control,0,154.89258624782198,3,Desktop
79,Control,0,287.7731770539651,4,Desktop
80,Control,0,186.91441472749077,4,Mobile
81,Control,0,140.87903255806515,5,Desktop
82,Control,0,121.90622689435587,2,Desktop
83,Control,0,244.94477274999565,3,Desktop
84,Control,0,153.58488142536973,2,Mobile
85,Control,0,187.41058397032356,4,Desktop
86,Control,0,237.56915098118645,1,Mobile
87,Control,0,158.36579064380433,3,Desktop
88,Control,0,182.47391441929116,4,Mobile
89,Control,0,184.0887374597614,1,Desktop
90,Control,0,222.58284813338506,6,Desktop
91,Control,0,217.4909384530679,3,Desktop
92,Control,0,172.89374478098443,2,Desktop
93,Control,0,188.50069838230849,2,Desktop
94,Control,0,164.55215436620813,2,Desktop
95,Control,0,103.73131761943054,3,Tablet
96,Control,0,199.1680471568971,4,Mobile
97,Control,0,289.07054684581874,6,Mobile
98,Control,0,136.39544726199154,3,Tablet
99,Control,0,142.48336597185133,4,Desktop
100,Control,0,137.1099725595942,1,Desktop
101,Control,0,224.85254782977174,2,Tablet
102,Control,0,209.6666999808042,4,Mobile
103,Control,0,176.28042691709487,2,Tablet
104,Control,0,134.50895160985692,2,Mobile
105,Control,1,190.08072354019583,3,Mobile
106,Control,0,98.94578299653077,1,Mobile
107,Control,0,192.88846117716213,3,Mobile
108,Control,0,232.9338412348364,4,Mobile
109,Control,0,116.18404748514772,4,Desktop
110,Control,0,100.7114947743685,6,Mobile
111,Control,0,271.8690840432173,3,Mobile
112,Control,0,151.35321982724784,3,Desktop
113,Control,1,247.4771315269102,2,Desktop
114,Control,0,176.53012841411925,1,Mobile
